"","pkg_name","reviewer","url","updated_in_12m","date_updated","vignette","comments","decision"
"1","Ac3net","imke","https://CRAN.R-project.org/package=Ac3net","","","","",""
"2","actel","imke","https://CRAN.R-project.org/package=actel","","","","",""
"3","adapt4pv","imke","https://CRAN.R-project.org/package=adapt4pv","","","","",""
"4","AFheritability","imke","https://CRAN.R-project.org/package=AFheritability","","","","",""
"5","agricolae","imke","https://CRAN.R-project.org/package=agricolae","","","","",""
"6","allestimates","imke","https://CRAN.R-project.org/package=allestimates","","","","",""
"7","Aoptbdtvc","imke","https://CRAN.R-project.org/package=Aoptbdtvc","","","","",""
"8","appnn","imke","https://CRAN.R-project.org/package=appnn","","","","",""
"9","ArchaeoPhases.dataset","imke","https://CRAN.R-project.org/package=ArchaeoPhases.dataset","","","","",""
"10","armada","imke","https://CRAN.R-project.org/package=armada","","","","",""
"11","asd","imke","https://CRAN.R-project.org/package=asd","","","","",""
"12","ASPBay","imke","https://CRAN.R-project.org/package=ASPBay","","","","",""
"13","ATE","imke","https://CRAN.R-project.org/package=ATE","","","","",""
"14","autoCovariateSelection","imke","https://CRAN.R-project.org/package=autoCovariateSelection","","","","",""
"15","bacondecomp","imke","https://CRAN.R-project.org/package=bacondecomp","","","","",""
"16","bacr","imke","https://CRAN.R-project.org/package=bacr","","","","",""
"17","BalanceCheck","imke","https://CRAN.R-project.org/package=BalanceCheck","","","","",""
"18","bartCause","imke","https://CRAN.R-project.org/package=bartCause","","","","",""
"19","bayescount","imke","https://CRAN.R-project.org/package=bayescount","","","","",""
"20","BayesCTDesign","imke","https://CRAN.R-project.org/package=BayesCTDesign","","","","",""
"21","bayesm","imke","https://CRAN.R-project.org/package=bayesm","","","","",""
"22","BayesReversePLLH","imke","https://CRAN.R-project.org/package=BayesReversePLLH","","","","",""
"23","baytrends","imke","https://CRAN.R-project.org/package=baytrends","","","","",""
"24","BCEE","imke","https://CRAN.R-project.org/package=BCEE","","","","",""
"25","bcf","imke","https://CRAN.R-project.org/package=bcf","","","","",""
"26","BCHM","imke","https://CRAN.R-project.org/package=BCHM","","","","",""
"27","bcmixed","imke","https://CRAN.R-project.org/package=bcmixed","","","","",""
"28","beanz","imke","https://CRAN.R-project.org/package=beanz","","","","",""
"29","behaviorchange","imke","https://CRAN.R-project.org/package=behaviorchange","","","","",""
"30","Bestie","imke","https://CRAN.R-project.org/package=Bestie","","","","",""
"31","bhm","imke","https://CRAN.R-project.org/package=bhm","","","","",""
"32","BI","imke","https://CRAN.R-project.org/package=BI","","","","",""
